district,nursery,kg_1,kg_2,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,total,male,female,other,general,obc,sc,st,eng,hin,both
Kawardha ,890,"1,621",849,702,691,792,521,42,491,290,191,,"7,080","3,807","3,273",,516,"4,481","1,438",645,"2,387","4,673",20
Kanker,689,856,706,"1,017",779,591,375,376,189,101,54,,"5,733","3,123","2,610",,"1,736","2,040",373,"1,584","2,037","3,651",45
Kondagaon,591,700,357,602,300,224,68,62,113,71,77,4,"3,169","1,709","1,460",,314,"1,160",205,"1,490","1,702","1,467",
Korba,"2,109","2,283","1,452","3,054","1,561","1,206",969,"1,137",962,750,563,5,"16,051","8,502","7,549",,"1,623","8,614","2,463","3,351","6,945","8,844",262
Koriya,593,"1,414",577,855,731,375,245,619,574,441,150,,"6,574","3,650","2,923",1,864,"3,061",768,"1,881","3,484","3,066",24
Gariaband,414,844,415,911,381,277,102,79,131,58,42,,"3,654","1,961","1,693",,136,"2,209",610,699,"1,036","2,618",
Jashpur,"1,144",471,393,"1,555",878,530,398,506,445,267,99,,"6,686","3,571","3,113",2,304,"2,186",654,"3,542","3,520","3,165",1
Janjgir-Champa,"4,256","3,810","2,202","3,285","1,736","1,189",772,"2,108","1,603","1,195",980,116,"23,252","12,254","10,998",,464,"9,258","11,292","2,238","6,618","15,956",678
Dantewada,60,154,99,172,139,121,42,23,17,,6,,833,420,412,1,247,236,124,226,590,243,
Durg,"3,797","2,410","2,007","3,472","2,054","1,173",624,"1,613","1,513",624,454,,"19,741","10,237","9,503",1,"4,552","11,151","3,147",891,"13,048","6,400",293
Dhamtari,"1,054","1,543","1,063","1,397","1,095",889,204,61,388,187,24,,"7,905","4,064","3,841",,315,"5,706",747,"1,137","2,829","5,076",
Narayanpur,64,101,83,96,106,57,12,,46,15,14,,594,321,273,,88,175,53,278,268,325,1
Balrampur,5,165,28,"2,126",765,663,451,583,217,159,92,,"5,254","2,945","2,308",1,319,"1,495",361,"3,079","1,627","3,536",91
Baloda Bazar,"1,523","3,073","1,574","1,589",998,"1,013",633,654,617,480,392,4,"12,550","6,652","5,897",1,419,"8,886","2,473",772,"4,009","8,264",277
Bastar,"1,500","1,320","1,112","1,212",880,419,255,600,238,88,129,,"7,753","4,161","3,591",1,"2,242","2,489",495,"2,527","6,383","1,342",28
Balod ,585,694,399,956,409,261,113,134,266,135,60,,"4,012","2,135","1,877",,235,"2,056",592,"1,129","1,519","2,493",
Bilaspur,"3,176","3,276","2,564","4,646","2,862","2,151","1,205",748,547,953,826,,"22,954","12,254","10,698",2,"1,571","9,450","7,217","4,716","8,958","13,087",909
Bijapur,267,175,111,109,111,81,29,58,35,1,,,977,521,456,,20,241,141,575,758,219,
Bemetara,622,"1,148",605,"1,054",552,61,76,536,256,203,144,5,"5,262","2,796","2,466",,364,"3,225","1,364",309,"1,651","3,602",9
Mahasamund,"1,800","1,716","1,135","1,191",842,672,325,885,565,310,216,,"9,657","5,187","4,470",,613,"5,782","1,759","1,503","4,047","5,578",32
Mungeli,841,733,241,"2,118",737,414,237,545,506,428,359,,"7,159","3,882","3,276",1,458,"2,757","3,306",638,"1,678","4,841",640
Rajnandgaon,"2,085","1,549",934,"2,979","1,267",590,854,"1,605","1,129",801,645,,"14,438","7,657","6,780",1,"1,012","9,005","2,457","1,964","5,316","8,869",253
Raigarh,"1,967","3,487","1,585","2,196","1,324","1,214",748,446,762,480,331,1,"14,541","7,906","6,634",1,494,"6,578","3,556","3,913","5,797","8,194",550
Raipur ,"5,235","3,419","3,437","5,387","2,942","1,425",530,"1,670","1,734",811,422,6,"27,018","14,002","13,016",,"3,131","17,015","5,517","1,355","15,895","10,909",214
Surguja,"1,369","1,183",623,"1,067",833,468,343,614,379,284,255,9,"7,427","3,964","3,462",1,679,"2,446",443,"3,859","3,620","3,695",112
Sukma,68,193,149,149,119,91,6,9,34,10,6,,834,471,363,,267,211,51,305,538,296,
Surajpur,"1,194",734,364,"2,101","1,126",977,699,466,70,1,,,"7,732","4,270","3,462",,553,"3,588",549,"3,042","2,412","5,057",263
