Udise_Code,ClassCode,Total_Seats,RTE_Seats,admitted,Dropout,Retaining
22060105406,C011,0,0,0,0,0
22110411203,C009,40,1,1,0,1
22050907933,C007,0,0,0,0,0
22070316205,C007,0,0,0,0,0
22070324706,C007,0,0,0,0,0
22261104502,C009,0,0,0,0,0
22261006621,C001,5,5,2,2,0
22122102472,C005,0,0,0,0,0
22242002919,C003,60,15,11,0,11
22041605009,C010,0,0,0,0,0
22100608118,C006,0,0,0,0,0
22220807509,C009,25,5,1,0,1
22091107011,C005,50,12,3,1,2
22100708903,C010,0,0,0,0,0
22012005515,C001,20,5,5,0,5
22261300236,C012,0,0,0,0,0
22151711215,C008,30,8,1,0,1
22220101804,C004,16,4,4,0,4
22071103803,C006,0,0,0,0,0
22031308302,C008,31,3,3,0,3
22213413115,C011,0,0,0,0,0
22152909907,C010,0,0,0,0,0
22030802110,C006,40,10,5,0,5
22040319235,C012,0,0,0,0,0
22220403805,C011,0,0,0,0,0
22041603407,C012,0,0,0,0,0
22081221110,C002,14,3,3,0,3
22110407704,C002,0,0,0,0,0
22100710529,C008,0,0,0,0,0
22143209209,C006,32,8,8,0,8
22081326703,C007,40,10,8,0,8
22220503005,C011,0,0,0,0,0
22060206303,C007,0,0,0,0,0
22261113101,C005,80,20,16,0,16
22050909404,C006,0,0,0,0,0
22151706905,C001,0,0,0,0,0
22100726232,C006,0,0,0,0,0
22122102703,C009,0,0,0,0,0
22071122820,C004,240,80,60,6,54
22200614906,C009,0,0,0,0,0
22012003401,C006,32,8,8,0,8
22191208802,C006,0,0,0,0,0
22191611304,C009,40,10,4,1,3
22100702903,C008,56,14,3,0,3
22112215808,C006,0,0,0,0,0
22061701805,C002,0,0,0,0,0
22031310703,C007,25,6,4,0,4
22110417204,C008,0,0,0,0,0
22101100206,C001,0,0,0,0,0
22060208702,C007,25,6,3,0,3
22110433902,C005,40,10,10,0,10
22012208911,C004,0,0,0,0,0
22012203103,C007,0,0,0,0,0
22070307934,C002,90,7,7,0,7
22080711703,C010,20,5,5,0,5
22110408526,C006,0,0,0,0,0
22100726609,C005,172,43,37,0,37
22061303505,C002,52,13,13,0,13
22101104403,C005,52,1,1,0,1
22081300111,C005,80,20,20,0,20
22112218607,C010,0,0,0,0,0
22071116006,C003,0,0,0,0,0
22091105423,C001,52,13,13,0,13
22110408707,C011,0,0,0,0,0
22041403905,C010,0,0,0,0,0
22041601505,C011,0,0,0,0,0
22071509802,C004,24,6,0,0,0
22203600523,C009,0,0,0,0,0
22061704706,C001,0,0,0,0,0
22100712504,C006,28,7,7,0,7
22020110868,C007,0,0,0,0,0
22100712109,C007,0,0,0,0,0
22231212605,C012,0,0,0,0,0
22100710536,C008,0,0,0,0,0
22100721518,C005,0,0,0,0,0
22200605032,C005,0,0,0,0,0
22061709107,C005,0,0,0,0,0
22020503710,C001,20,5,4,0,4
22050900144,C010,0,0,0,0,0
22090309402,C011,0,0,0,0,0
22081221201,C001,0,0,0,0,0
22080715003,C005,20,5,5,1,4
22271404806,C009,0,0,0,0,0
22070309815,C007,20,5,2,0,2
22041514493,C007,0,0,0,0,0
22220407817,C010,37,10,7,0,7
22191208501,C012,0,0,0,0,0
22172501605,C007,0,0,0,0,0
22101100309,C001,0,0,0,0,0
22110402407,C012,0,0,0,0,0
22081307108,C011,0,0,0,0,0
22101100443,C001,60,15,15,1,14
22070307921,C001,0,0,0,0,0
22012000143,C002,0,0,0,0,0
22040312509,C005,0,0,0,0,0
22030112307,C011,0,0,0,0,0
22091101902,C010,0,0,0,0,0
22071407304,C012,0,0,0,0,0
22152910928,C004,30,8,8,0,8
22091118220,C009,80,20,20,2,18
22090910605,C002,0,0,0,0,0
22100711704,C008,0,0,0,0,0
22242009221,C003,0,0,0,0,0
22061903309,C005,40,10,10,3,7
22060000245,C008,0,0,0,0,0
22040907904,C003,40,10,10,0,10
22050908307,C008,20,2,2,1,1
22030104903,C004,28,7,7,0,7
22040302807,C007,0,0,0,0,0
22020608404,C010,25,6,3,0,3
22153308656,C005,100,25,17,0,17
22020300144,C012,0,0,0,0,0
22090811203,C002,0,0,0,0,0
22101117404,C011,0,0,0,0,0
22091118225,C007,27,2,2,0,2
22100700820,C007,0,0,0,0,0
22241013712,C009,30,9,7,1,6
22040210106,C005,40,7,7,0,7
22060408228,C004,0,0,0,0,0
22132702203,C002,20,5,5,0,5
22110801005,C011,0,0,0,0,0
22100717535,C006,0,0,0,0,0
22110405514,C008,8,3,3,0,3
22051023906,C005,0,0,0,0,0
22241206411,C007,0,0,0,0,0
22061902716,C003,0,0,0,0,0
22110602305,C002,0,0,0,0,0
22100726234,C003,0,0,0,0,0
22142711608,C006,30,7,3,0,3
22110406212,C003,24,6,6,1,5
22041515004,C006,28,6,6,0,6
22121125214,C004,0,0,0,0,0
22230305704,C007,0,0,0,0,0
22172619805,C011,0,0,0,0,0
22110406114,C011,22,2,2,0,2
22071508408,C001,0,0,0,0,0
22041401203,C002,0,0,0,0,0
22061905808,C004,0,0,0,0,0
22110407346,C005,15,1,1,0,1
22231006703,C003,40,8,8,0,8
22041408322,C006,0,0,0,0,0
22220408511,C009,0,0,0,0,0
22060407703,C008,20,5,4,1,3
22100726614,C010,0,0,0,0,0
22030705304,C011,0,0,0,0,0
22240206307,C011,0,0,0,0,0
22040302809,C004,101,25,13,0,13
22060402504,C010,0,0,0,0,0
22110611403,C010,0,0,0,0,0
22130302924,C010,0,0,0,0,0
22133006709,C007,0,0,0,0,0
22101113308,C007,0,0,0,0,0
22261006615,C008,0,0,0,0,0
22061707012,C003,0,0,0,0,0
22060404309,C002,16,4,4,1,3
22110403107,C011,0,0,0,0,0
22220809007,C001,0,0,0,0,0
22271401713,C001,40,10,1,0,1
22251903706,C008,0,0,0,0,0
22110415104,C011,0,0,0,0,0
22110400107,C008,0,0,0,0,0
22012203203,C006,0,0,0,0,0
22133013108,C002,40,10,8,0,8
22062406603,C003,20,6,6,0,6
22100614404,C012,0,0,0,0,0
22041707115,C006,60,15,9,0,9
22041603405,C006,25,6,6,0,6
22110616903,C007,32,8,0,0,0
22110439606,C008,0,0,0,0,0
22051015148,C004,20,5,0,0,0
22122808504,C006,40,10,10,0,10
22241215503,C008,0,0,0,0,0
22240205402,C006,0,0,0,0,0
22191601404,C007,0,0,0,0,0
22130300206,C006,28,7,7,1,6
