,district,
1,BALOD,ok
2,BALODABAZAR,Baloda Bazar
3,BALRAMPUR,ok
4,BASTER,Bastar
5,BEMETARA,ok
6,BIJAPUR,ok
7,BILASPUR,ok
8,DANTEWADA,ok
9,DHAMTARI,ok
10,DURG,ok
11,GARIABAND,ok
12,JANJGIR_CHAMPA,Janjgir-Champa
13,JASHPUR,ok
14,KANKER,ok
15,KAWARDHA,ok
16,KONDAGAON,ok
17,KORBA,ok
18,KORIYA,ok
19,MAHASAMUND,ok
20,MUNGELI,ok
21,NARAYANPUR,ok
22,RAIGARH,ok
23,RAIPUR,ok
24,RAJNANDGAON,ok
25,SAKTI,Janjgir-Champa
26,SUKMA,ok
27,SURAJPUR,ok
28,SURGUJA,ok
29,PARARAS,Balod 
30,DAUNDI,Balod 
31,CRC D_LOHARA,Balod
32,GUNDERDEHI,Balod
33,GURUR,Balod
34,MAINHINDI,Baloda Bazar
35,BILAIGARH,Baloda Bazar
36,KASDOL,Baloda Bazar
37,CRC PALARI,Baloda Bazar
38,SIMGA,Baloda Bazar
39,KUSMI,Balrampur 
40,RAJPUR,Balrampur
41,RAMANUJGANJ,Balrampur
42,SHANKARGARH,Balrampur 
43,WADRAFNAGAR,Balrampur 
44,BAKAWAND,Bastar
45,KILEPAL NO-2,Bastar
46,PHARSAGUDA,Bastar
47,DARBHA,Bastar
48,VIVEKANAND,Bastar
49,DHARAUR,Bastar
50,TOKAPAL,Bastar
51,BERLA,BEMETARA
52,NAWAGARH,BEMETARA
53,SAJA,BEMETARA
54,BHAIRAMGARH,Bijapur
55,KODOLI,Bijapur
56,BHOPAL PATNAM,Bijapur
57,PILUR,Bijapur
58,CHINNAKAWALI,Bijapur
59,TIMMAPUR,Bijapur
60,CRC BILHA,Bilaspur 
61,CRC TILAK NAGAR-1,Bilaspur 
62,CRC GOURELA,Bilaspur 
63,CRC GIRLS KOTA,Bilaspur 
64,CRC PHIRANGI PARA ,Bilaspur 
65,CRC MARWAHI,Bilaspur 
66,CRC MASTURI,Bilaspur 
67,CRCPENDRA,Bilaspur 
68,CRC TAKHATPUR,Bilaspur 
69,BACHELI,Dantewada 
70,GEEDAM,Dantewada 
71,KATEKLYAN,Dantewada 
72,KUAKONDA,Dantewada 
73,NAKULNAR,Dantewada 
74,CRC SHALA NO.1,Dhamtari
75,CRC KURUD,Dhamtari
76,CRC MAGARLOD,Dhamtari
77,CRC NAGRI B,Dhamtari
78,DHAMDHA,Durg
79,CRC DEEPAK NAGAR,Durg
80,CRC KHURSIPAR,Durg
81,CRC MARODA ,Durg
82,CRC MULTIPORPUSE,Durg
83,C.R.C.  CHARODA,Durg
84,C.R.C.  GIRLS PATAN,Durg
85,CHHURA,Gariaband 
86,DEOBHOG,Gariaband 
87,FINGESHWAR,Gariaband 
88,GARIABAND ,Gariaband 
89,MAINPUR,Gariaband 
90,CRC ARJUNI,Janjgir-Champa
91,CRC PARSAHI(BANA),Janjgir-Champa
92,CRC BALODA,Janjgir-Champa
93,CRC BAMHANI DIH,Janjgir-Champa
94,CRC NAWAGARH,Janjgir-Champa
95,CRC PAMGARH,Janjgir-Champa
96,"CRC, BAGICHA",Jashpur
97,"CRC, DULDULA",Jashpur
98,"CRC, FARSABAHAR",Jashpur
99,"CRC, JASHPUR",Jashpur
100,"CRC, KANSABEL",Jashpur
101,"CRC, KUNKURI",Jashpur
102,"CRC, MANORA",Jashpur
103,PATHALGAON,Jashpur
104,"ANTAGARH,SHITLAPARA",Kanker
105,BHANUPRATAPPUR SAMBALPUR ROAD,Kanker
106,"CHARAMA, JANPAD P.S. CHARAMA",Kanker
107,DURGUKONDAL (BOYS P.S. DURGUKONDAL),Kanker
108,MAHURBANDPARA,Kanker
109,PAKHANJORE,Kanker
110,"SARONA, GOVT. GIRLS P.S. SARONA",Kanker
111,BODLA,Kawardha 
112,PANDARIYA,Kawardha 
113,SAHASPUR LOHARA,Kawardha 
114,"VISHRAMPURI,",Kondagaon 
115,PHARASGAON CRCC CENTER PHARASGAON,Kondagaon 
116,SURDONGER CRCC CLUSTER,Kondagaon 
117,BAJARPARA,Kondagaon 
118,MAAKDI,Kondagaon 
119,KARTALA,Korba
120,DARRI,Korba
121,KATGHORA,Korba
122,PALI.,Korba
123,PONDI UPRONDA,Korba
124,CRC MAHALPARA,Koriya 
125,CRC BHARATPUR,Koriya 
126,CRC HALDIBADI,Koriya 
127,CRC KHADGAVA,Koriya 
128,CRC MANENDRAGARH,Koriya 
129,CRC SONHAT BODAR,Koriya 
130,CRC BAGBAHARA,Mahasamund 
131,CRC BASNA,Mahasamund 
132,CRC BRIJRAJ (MSMD),Mahasamund 
133,CRC PITHORA,Mahasamund 
134,CRC SARAYPALI,Mahasamund 
135,LORMI(N.P.),Mungeli 
136,ROHARA KHURD,Mungeli 
137,PATHARIA,Mungeli 
138,ORCHHA,Narayanpur
139,BARAMKELA,Raigarh
140,DUGRUPARA,Raigarh
141,GHARGHODA,Raigarh
142,MADANPUR,Raigarh
143,LAILUNGA,Raigarh
144,PUSSORE,Raigarh
145,BHUPDEO BOYS RIG,Raigarh
146,INDIRA BOYS RAIGARH,Raigarh
147,SARANGARH,Raigarh
148,TAMNAR,Raigarh
149,CRC BALAK ABHANPUR,Raipur
150,CRC ARANG,Raipur
151,CRC BIRGAON,Raipur
152,CRC CHAROUDA,Raipur
153,CRC SHANKAR NAGAR,Raipur
154,CRC VIVEKANAND NAGAR,Raipur
155,CRC TILDA,Raipur
156,CHOWKI,Rajnandgaon 
157,CHUIKHADAN,Rajnandgaon 
158,CHURIA,Rajnandgaon 
159,DONGARGAON,Rajnandgaon 
160,DONGARGARH,Rajnandgaon 
161,KHAIRAGARH,Rajnandgaon 
162,MANPUR,Rajnandgaon 
163,MOHALA,Rajnandgaon 
164,LAKHOLI GRAM,Rajnandgaon 
165,P.S. NO. 4 TULSIPUR,Rajnandgaon 
166,CRC DABHARA,Janjgir-Champa
167,CRC JAIJAIPUR,Janjgir-Champa
168,CRC MALKHARODA,Janjgir-Champa
169,CRC SAKTI,Janjgir-Champa
170,CHHINDGARH,Sukma
171,KONTA,Sukma
172,DARRIPARA,Surajpur
173,SAMOLI,Surajpur
174,ODGI,Surajpur
175,PRATAPPUR,Surajpur
176,PREMNAGAR,Surajpur
177,PIWARI,Surajpur
178,LANCHI,Surajpur
179,FUNDURDIHARI,Surguja
180,PRAYOGIC KEDARPUR\,Surguja
181,BATOALI,Surguja
182,LAKHANPUR,Surguja
183,LUNDRA,Surguja
184,CRC NARMADAPUR,Surguja
185,SITAPUR,Surguja
186,UDAIPUR,Surguja
