district,cluster
Balod,BALOD
Baloda Bazar,BALODABAZAR
BALRAMPUR,BALRAMPUR
Bastar,BASTER
BEMETARA,BEMETARA
BIJAPUR,BIJAPUR
BILASPUR,BILASPUR
DANTEWADA,DANTEWADA
DHAMTARI,DHAMTARI
DURG,DURG
GARIABAND,GARIABAND
Janjgir-Champa,JANJGIR_CHAMPA
JASHPUR,JASHPUR
KANKER,KANKER
KAWARDHA,KAWARDHA
KONDAGAON,KONDAGAON
KORBA,KORBA
KORIYA,KORIYA
MAHASAMUND,MAHASAMUND
MUNGELI,MUNGELI
NARAYANPUR,NARAYANPUR
RAIGARH,RAIGARH
RAIPUR,RAIPUR
RAJNANDGAON,RAJNANDGAON
Janjgir-Champa,SAKTI
SUKMA,SUKMA
SURAJPUR,SURAJPUR
SURGUJA,SURGUJA
Balod ,PARARAS
Balod ,DAUNDI
Balod,CRC D_LOHARA
Balod,GUNDERDEHI
Balod,GURUR
Baloda Bazar,MAINHINDI
Baloda Bazar,BILAIGARH
Baloda Bazar,KASDOL
Baloda Bazar,CRC PALARI
Baloda Bazar,SIMGA
Balrampur ,KUSMI
Balrampur,RAJPUR
Balrampur,RAMANUJGANJ
Balrampur ,SHANKARGARH
Balrampur ,WADRAFNAGAR
Bastar,BAKAWAND
Bastar,KILEPAL NO-2
Bastar,PHARSAGUDA
Bastar,DARBHA
Bastar,VIVEKANAND
Bastar,DHARAUR
Bastar,TOKAPAL
BEMETARA,BERLA
BEMETARA,NAWAGARH
BEMETARA,SAJA
Bijapur,BHAIRAMGARH
Bijapur,KODOLI
Bijapur,BHOPAL PATNAM
Bijapur,PILUR
Bijapur,CHINNAKAWALI
Bijapur,TIMMAPUR
Bilaspur ,CRC BILHA
Bilaspur ,CRC TILAK NAGAR-1
Bilaspur ,CRC GOURELA
Bilaspur ,CRC GIRLS KOTA
Bilaspur ,CRC PHIRANGI PARA 
Bilaspur ,CRC MARWAHI
Bilaspur ,CRC MASTURI
Bilaspur ,CRCPENDRA
Bilaspur ,CRC TAKHATPUR
Dantewada ,BACHELI
Dantewada ,GEEDAM
Dantewada ,KATEKLYAN
Dantewada ,KUAKONDA
Dantewada ,NAKULNAR
Dhamtari,CRC SHALA NO.1
Dhamtari,CRC KURUD
Dhamtari,CRC MAGARLOD
Dhamtari,CRC NAGRI B
Durg,DHAMDHA
Durg,CRC DEEPAK NAGAR
Durg,CRC KHURSIPAR
Durg,CRC MARODA 
Durg,CRC MULTIPORPUSE
Durg,C.R.C.  CHARODA
Durg,C.R.C.  GIRLS PATAN
Gariaband ,CHHURA
Gariaband ,DEOBHOG
Gariaband ,FINGESHWAR
Gariaband ,GARIABAND 
Gariaband ,MAINPUR
Janjgir-Champa,CRC ARJUNI
Janjgir-Champa,CRC PARSAHI(BANA)
Janjgir-Champa,CRC BALODA
Janjgir-Champa,CRC BAMHANI DIH
Janjgir-Champa,CRC NAWAGARH
Janjgir-Champa,CRC PAMGARH
Jashpur,"CRC, BAGICHA"
Jashpur,"CRC, DULDULA"
Jashpur,"CRC, FARSABAHAR"
Jashpur,"CRC, JASHPUR"
Jashpur,"CRC, KANSABEL"
Jashpur,"CRC, KUNKURI"
Jashpur,"CRC, MANORA"
Jashpur,PATHALGAON
Kanker,"ANTAGARH,SHITLAPARA"
Kanker,BHANUPRATAPPUR SAMBALPUR ROAD
Kanker,"CHARAMA, JANPAD P.S. CHARAMA"
Kanker,DURGUKONDAL (BOYS P.S. DURGUKONDAL)
Kanker,MAHURBANDPARA
Kanker,PAKHANJORE
Kanker,"SARONA, GOVT. GIRLS P.S. SARONA"
Kawardha ,BODLA
Kawardha ,PANDARIYA
Kawardha ,SAHASPUR LOHARA
Kondagaon ,"VISHRAMPURI,"
Kondagaon ,PHARASGAON CRCC CENTER PHARASGAON
Kondagaon ,SURDONGER CRCC CLUSTER
Kondagaon ,BAJARPARA
Kondagaon ,MAAKDI
Korba,KARTALA
Korba,DARRI
Korba,KATGHORA
Korba,PALI.
Korba,PONDI UPRONDA
